date,cl1,cl2,roll coef,day of month,roll last month,is end of month,date,month close,roll coef,perf month init,perf month corr,long only reinvested,long only not reinvested,pos strat 7,perf strat7,strat 7 reinvested,strat 7 not reinvested,pos strat 9,perf strat9,strat 9 reinvested,strat 9 not reinvested,unnamed: 22,unnamed: 23,trading cost,unnamed: 25,pos aver7 aver9,perf aver7 aver9,aver7 aver9 reinvested,aver7 aver9 not reinvested,0,0.1,trading cost .1,0.2
5/17/1985,27.8,26.92,-0.03165467626,13,-0.02277657267,0,12/31/2007,95.98,0.003067820752,0.08195242926,0.095343863,3.019974916,2.429968213,1.0,0.095343863,0.4380129442,0.5155583556,1.0,0.095343863,0.611667748,0.8438225979,0,0.001079136691,0.0321966601,0.8116259378,1,0.095343863,0,1.851499698,0,0.0003125651177,0.01272160973,1.838778088
5/20/1985,27.9,26.99,-0.03261648746,14,-0.02277657267,0,1/31/2008,91.75,-0.001849836779,-0.0440716816,-0.04713950235,2.877614801,2.382828711,1.0,-0.04713950235,0.417365232,0.4684188533,1.0,-0.04713950235,0.5828340347,0.7966830956,0,0.001075268817,0.0321966601,0.7644864355,1,-0.04713950235,0,1.804360195,0,0.0003269754768,0.01272160973,1.791638586
5/21/1985,28.0,27.14,-0.03071428571,15,-0.02277657267,0,2/29/2008,101.84,0.0009428032684,0.109972752,0.1118225888,3.199397138,2.4946513,1.0,0.1118225888,0.4640360928,0.5802414421,1.0,0.1118225888,0.6480080453,0.9085056844,0,0.001071428571,0.0321966601,0.8763090243,1,0.1118225888,0,1.916182784,0,0.0002945797329,0.01272160973,1.903461174
5/22/1985,27.1,26.72,-0.01402214022,16,-0.02277657267,0,3/31/2008,101.58,-0.01333817258,-0.002553024352,-0.00349582762,3.188212597,2.491155472,1.0,-0.00349582762,0.4624139026,0.5767456145,1.0,-0.00349582762,0.6457427209,0.9050098568,0,0.00110701107,0.0321966601,0.8728131967,1,-0.00349582762,0,1.912686957,0,0.0002953337271,0.01272160973,1.899965347
5/23/1985,27.6,27.14,-0.01666666667,17,-0.02277657267,0,4/30/2008,113.46,-0.005279169649,0.1169521559,0.1302903285,3.603605864,2.621445801,1.0,0.1302903285,0.5226619618,0.707035943,1.0,0.1302903285,0.7298767521,1.035300185,0,0.001086956522,0.0321966601,1.003103525,1,0.1302903285,0,2.042977285,0,0.0002644103649,0.01272160973,2.030255675
5/24/1985,27.7,27.33,-0.01335740072,18,-0.02277657267,0,5/30/2008,127.35,-0.0008855256802,0.1224219989,0.1277011686,4.063790544,2.749146969,1.0,0.1277011686,0.5894065051,0.8347371116,1.0,0.1277011686,0.8230828663,1.163001354,0,0.001083032491,0.0321966601,1.130804694,1,0.1277011686,0,2.170678454,0,0.0002355712603,0.01272160973,2.157956844
5/28/1985,27.57,27.19,-0.01378309757,19,-0.02277657267,0,6/30/2008,140.0,0.004523209254,0.0993325481,0.1002180738,4.471055805,2.849365043,1.0,0.1002180738,0.6484756898,0.9349551854,1.0,0.1002180738,0.9055706457,1.263219428,0,0.001088139282,0.0321966601,1.231022768,1,0.1002180738,0,2.270896527,0,0.0002142857143,0.01272160973,2.258174918
5/29/1985,27.64,27.22,-0.01519536903,20,-0.02277657267,0,7/31/2008,124.08,0.00454086781,-0.1137142857,-0.118237495,3.942409366,2.731127548,1.0,-0.118237495,0.5718015487,0.8167176904,1.0,-0.118237495,0.7984982411,1.144981933,0,0.001085383502,0.0321966601,1.112785273,1,-0.118237495,0,2.152659032,0,0.0002417794971,0.01272160973,2.139937423
5/30/1985,27.92,27.41,-0.01826647564,21,-0.02277657267,0,8/29/2008,115.46,0.0001738979219,-0.06947130883,-0.07401217664,3.650623068,2.657115372,1.0,-0.07401217664,0.5294812714,0.7427055138,1.0,-0.07401217664,0.7393996482,1.070969756,0,0.001074498567,0.0321966601,1.038773096,1,-0.07401217664,0,2.078646856,0,0.0002598302442,0.01272160973,2.065925246
5/31/1985,27.84,27.43,-0.01472701149,22,-0.02277657267,1,9/30/2008,100.64,-0.0002089645805,-0.1283561407,-0.1285300386,3.181408344,2.528585333,-1.0,0.1285300386,0.5975355197,0.8712355523,1.0,-0.1285300386,0.6443645829,0.9424397175,0,0.001077586207,0.0321966601,0.9102430574,1,-0.1285300386,0,1.950116817,0,0.0002980922099,0.01272160973,1.937395208
